Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link
Hippocrates: De diaeta acutorum (spurium),Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... θώρηκος ᾖ τὸ ἄλγημα, καὶ ξυντείνῃ λίην, τῷ πλευριτικῷ τὴν κοιλίην ὑποκάθαιρε· μεσηγὺ δὲ τῆς καθάρσιος μηδὲν δίδου· μετὰ κάθαρσιν δὲ ὀξύμελι· φαρμακεύειν δὲ τεταρταῖον· τὰς δὲ ἐξ ἀρχῆς τρεῖς ὑκοκλύζειν, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:11.1,https://github.comCos
Hippocrates: De natura hominis,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἐν τῷ ἐντέρῳ. Ὁκόσοισι δ’ ἂν ἐς τὸ στῆθος ἐσρυῇ, ὑπόπυοι γίνονται· ἅτε γὰρ τῆς καθάρσιος ἀνάντεος ἐούσης, καὶ χρόνον ἐναυλιζόμενον πουλὺν ἐν τῷ στήθει, κατασήπεται καὶ γίνεται πυοειδές. Ὁκόσοισι δ’ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:12.1,https://github.comCos
Hippocrates: De diaeta in morbis acutis,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... διδόναι μηδὲν ἔλασσον ἀξίως λόγου ἢ ὁκόσον εἴθιστο· ἐπεὶ καὶ κατὰ λόγον ἐστὶ μεσηγὺ τῆς καθάρσιος μὴ διδόναι ῥοφῇν· ὁκόταν δὲ λήξῃ ἡ κάθαρσις, τότε ἔλασσον ῥοφεέτω ἢ ὁκόσον εἴθιστο· μετὰ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:7.1,https://github.comCos
Hippocrates: Prorrheticon I,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... δὲ καὶ πολὺν χρόνον ἢν τῇσιν οὕτω διακειμένῃσιν γίνηται ἢ παντάπασιν ἀφανέα ᾖ, αἱ μῆτραι καθάρσιος ταύτῃσι προσχρῄζουσιν. Ὁκόσαι δὲ εὔχροοί τέ εἰσι καὶ σάρκα πολλήν τε καὶ πίειραν ἔχουσι, καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:24.1,https://github.comCos
Hippocrates: Epidemiarum,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... οὐδὲ παρέκρουσεν ἐπὶ τῇ ὑποστροφῇ. Ἄῤῥωστος τέταρτος. Ἐν Θάσῳ Φιλίνου γυναῖκα, θυγατέρα τεκοῦσαν, κατὰ φύσιν καθάρσιος γενομένης, καὶ τἄλλα κούφως διάγουσαν, τεσσαρεσκαιδεκαταίην ἐοῦσαν μετὰ τὸν τόκον, πῦρ ἔλαβε μετὰ ῥίγεος· ἤλγεε ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:13.4,https://github.comCos
Hippocrates: Epidemiarum,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... δεύτερος. Ἐν Θάσῳ τὴν κατακειμένην παρὰ τὸ ψυχρὸν ὕδωρ, ἐκ τοῦ τόκου, θυγατέρα τεκοῦσαν καὶ καθάρσιος μὴ γινομένης, πυρετὸς ὀξὺς, φρικώδης, τριταίην ἔλαβεν. Ἐκ χρόνου δὲ πολλοῦ πρὸ τοῦ τόκου πυρετώδης ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:17.2,https://github.comCos
Hippocrates: Epidemiarum,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... τὸ κάθαρμα πουλὺ, φλέγμα τε καὶ χολὴν μέλαιναν· διῄει δι᾿ ἡμέρης· πρὸς δείλην ἐπαύσατο τῆς καθάρσιος· καὶ πόνον ἐπόνησεν ἐν τῇ καθάρσει πουλὺν, καὶ, πιὼν ἄλφιτον, ὕπνος ἔλαβεν αὐτὸν, καὶ εἶχε ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:2.1,https://github.comCos
Hippocrates: Epidemiarum,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἤμεε δὲ χολὴν πικρὴν ἐνίοτε, ἐπεὶ διεγείροιτο, ἤμεε δὲ καὶ μέλαιναν. Οὗτος. ἀπὸ τῆς κεφαλῆς καθάρσιος ἰσχυρῆς πάνυ καὶ ἐπὶ πουλὺν χρόνον καθαιρόμενος, καὶ φάρμακον δὶς πιὼν, ἓξ μῆνας αὐτὸν διέσχεν. ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:22.1,https://github.comCos
Hippocrates: Epidemiarum,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... αὐτῷ πῦον κάτω, καὶ διαῤῥοίη, καὶ ἔθανεν. 31. Ἑκάσων, ἐν Ὀμίλῳ, ἀπὸ ἀκαθαρσίης καὶ πονηρῆς καθάρσιος ἐς τὸ ἰσχίον ἐπέστη αὐτῷ ὀδύνη ὀξείη· καὶ αὐτὴ μὲν ἀπηλλάγη, πυρετοὶ δὲ αὐτὸν ὑπέλαβον· ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:31.1,https://github.comCos
Hippocrates: Epidemiarum,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... σκελέων καὶ χειρῶν περὶ φθινόπωρον γενόμενος, ἔπιεν εἰκῇ φάρμακον ἄνω καὶ κάτω· ἐκ δὲ τῆς καθάρσιος, πυρετός· καὶ ἐς τὴν ἀρτηρίην κατεῤῥύη τοιοῦτον, οἷον ἐπισχεῖν διαλεγόμενον, καὶ ἀσθμαίνειν ἐν τῷ διαλέγεσθαι ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:9.1,https://github.comCos
Hippocrates: Aphorismi,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... δυστοκούσῃ, πταρμὸς ἐπιγινόμενος, ἀγαθόν. 36.Γυναικὶ τὰ καταμήνια ἄχροα, καὶ μὴ κατὰ τὰ αὐτὰ αἰεὶ γινόμενα, καθάρσιος δεῖσθαι σημαίνει. 37. Γυναικὶ ἐν γαστρὶ ἐχούσῃ, ἢν οἱ μασθοὶ ἐξαίφνης ἐσχνοὶ γένωνται, ἐκτιτρώσκει. 38. ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:1.36,https://github.comCos
Hippocrates: Aphorismi,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἄνω· ἐπὶ φθορῇ ῥεῦμα ἐκ τῆς κεφαλῆς· ἐπὶ ῥεύματι διάῤῥοια· ἐπὶ διαῤῥοίῃ σχέσις τῆς ἄνω καθάρσιος· ἐπὶ τῇ σχέσει θάνατος. 81. Ὁκοῖα καὶ ἐν τοῖσι κατὰ τὴν κύστιν, καὶ τοῖσι κατὰ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:1.79,https://github.comCos
